"year","denomination_id","name","short_name","family_census","family_arda","family_relec","id"
1906,,"Spiritualists","Spiritualists","Spiritualists","Spiritualist","Spiritualist",1159
1906,,"Swedish Evangelical Free Mission","Swedish Evangelical Free Mission","Swedish Evangelical bodies","Methodist/Pietist","Pietist",1160
1906,,"Swedish Evangelical Mission Covenant of America","Swedish Evangelical Mission Covenant of America","Swedish Evangelical bodies","Methodist/Pietist","Pietist",1161
1906,,"Synod for the Norwegian Evangelical Lutheran Church in America","Synod for the Norwegian Evangelical Lutheran Church in America","Lutheran","Lutheran","Lutheran",1162
1906,,"Synod of the Reformed Presbyterian Church of North America","Synod of the Reformed Presbyterian Church of North America","Presbyterian","Reformed/Presbyterian","Presbyterian",1163
1906,,"Syrian Orthodox Church","Syrian Orthodox Church","Eastern Orthodox","Eastern Liturgical (Orthodox)","Orthodox",1164
1906,,"Temple Society in the United States (Friends of the Temple)","Temple Society in the United States (Friends of the Temple)","Temple Society in the United States (Friends of the Temple)","Communal ","Other groups",1248
1906,,"The Brethren Church (Progressive Dunkers)","The Brethren Church (Progressive Dunkers)","Dunkers or German Baptist Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish) ","Anabaptists",1165
1906,,"Theosophical Society, American Section","Theosophical Society, American Section","Theosophical societies","Other groups","Theosophical",1166
1906,,"Theosophical Society in America","Theosophical Society in America","Theosophical societies","Other groups","Theosophical societies",1249
1906,,"Theosophical Society, New York","Theosophical Society, New York","Theosophical societies","Other groups","Theosophical societies",1250
1906,,"Two-Seed-in-the-Spirit Predestinarian Baptists","Two-Seed-in-the-Spirit Predestinarian Baptists","Baptists","Baptist","Baptist",1189
1906,,"Union American Methodist Episcopal Church (Colored)","Union American Methodist Episcopal Church (Colored)","Methodist","Methodist/Pietist","Methodist",1167
1906,,"Unitarians","Unitarians","Unitarians","Liberal","Other groups",1168
1906,,"United American Freewill Baptists (Colored)","United American Freewill Baptists (Colored)","Baptists","Baptist","Baptist",1191
1906,,"United Baptists","United Baptists","Baptists","Baptist","Baptist",1187
1906,,"United Danish Evangelical Lutheran Church in America","United Danish Evangelical Lutheran Church in America","Lutheran","Lutheran","Lutheran",1169
1906,,"United Evangelical Church","United Evangelical Church","Evangelical","Methodist/Pietist","Methodist",1170
1906,,"United Norwegian Lutheran Church in America","United Norwegian Lutheran Church in America","Lutheran","Lutheran","Lutheran",1171
1906,,"United Presbyterian Church of North America","United Presbyterian Church of North America","Presbyterian","Reformed/Presbyterian","Presbyterian",1172
1906,,"United Society of Believers (Shakers)","United Society of Believers (Shakers)","Communistic Societies","Communal","Communitarian Societies",1200
1906,,"United Synod of the Evangelical Lutheran Church in the South","United Synod of the Evangelical Lutheran Church in the South","Lutheran","Lutheran","Lutheran",1173
1906,,"United Zion's Children","United Zion's Children","Brethren (River)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",1194
1906,,"Universal Brotherhood and Theosophical Society","Universal Brotherhood and Theosophical Society","Theosophical societies","Other groups","Theosophical societies",1251
1906,,"Universalists","Universalists","United Synod of the Evangelical Lutheran Church in the South","Liberal","Other groups",1174
1906,,"Vedanta Society","Vedanta Society","Vedanta Society","Other groups","Other groups",1253
1906,,"Voluntary Missionary Society in America (Colored)","Voluntary Missionary Society in America (Colored)","Evangelistic Associations",,"Other groups",1215
1906,,"Volunteers of America","Volunteers of America","Volunteers of America","Holiness","Other groups",1254
1906,,"Welsh Calvinistic Methodist Church","Welsh Calvinistic Methodist Church","Presbyterian","Reformed/Presbyterian","Presbyterian",1175
1906,,"Wesleyan Methodist Connection of America","Wesleyan Methodist Connection of America","Methodist","Methodist/Pietist","Methodist",1176
1906,,"Yorker, or Old Order, Brethren","Yorker, or Old Order, Brethren","Brethren (River)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",1193
1916,,"Advent Christian Church","Advent Christian Church","Adventist","Adventist","Adventist",837
1916,,"African American Methodist Episcopal Church","African American Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",838
1916,,"African Methodist Episcopal Church","African Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",839
1916,,"African Methodist Episcopal Zion Church","African Methodist Episcopal Zion Church","Methodist","Methodist/Pietist","Methodist",840
1916,,"African Union Methodist Protestant Church","African Union Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist",841
1916,,"Albanian Orthodox Church","Albanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",842
1916,,"Amana Society","Amana Society","Communistic societies","Communal","Communitarian Societies",996
1916,,"American Catholic Church","American Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic",843
1916,,"American Rescue Workers","American Rescue Workers","American Rescue Workers","Holiness","Holiness",844
1916,,"Apostolic Christian Church","Apostolic Christian Church","Evangelistic associations","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists",845
1916,,"Apostolic Church","Apostolic Church","Evangelistic associations",,"Restorationist",998
1916,,"Apostolic Faith Movement","Apostolic Faith Movement","Evangelistic associations","Pentecostal","Pentecostal",846
1916,,"Apostolic Lutheran Church (Finnish)","Apostolic Lutheran Church (Finnish)","Lutheran","Lutheran","Lutheran",847
1916,,"Armenian Church ","Armenian Church ","Armenian Church","Eastern Liturgical (Orthodox)","Orthodox",848
1916,,"Assemblies of God, General Council","Assemblies of God, General Council","Assemblies of God, General Council","Pentecostal","Pentecostal",849
1916,,"Associate Reformed Presbyterian Church","Associate Reformed Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian",850
1916,,"Associate Synod of North America (Associate Presbyterian Church)","Associate Synod of North America (Associate Presbyterian Church)","Presbyterian","Reformed/Presbyterian","Presbyterian",1033
